	位元組順序記號（英语：byte-order mark，BOM）是位於碼點U+FEFF的統一碼字符的名称。當以UTF-16或UTF-32來將UCS/統一碼字符所組成的字串編碼時，這個字符被用來標示其位元組序。它常被用來當做標示文件是以UTF-8、UTF-16或UTF-32編碼的記號。
钱明奇	钱明奇|抚州连环爆炸案	钱明奇（1959年－2011年5月26日），江西省抚州市临川区居民，生于北京，抚州市连环爆炸案嫌疑人。
日本地震	日本.*地震|核泄露|福岛|抢盐|盐.*防辐射	日本地震
个税起征点上调至3500	个税起征点	个税起征点上调至3500
药家鑫	药家鑫|张妙|张显|药庆卫	药家鑫案，西安警方称“10·20”大学生药家鑫撞伤人又故意杀人案，检方、法院称药家鑫故意杀人案是指2010年10月20日深夜发生在陕西省西安市大学城学府大道上的一起交通肇事引发的故意杀人案，肇事者药家鑫驾车撞到被害人张妙[1][2]，下车后发现张妙在记自己的车牌号，药家鑫拿出刀子，连捅张妙8刀，致其死亡，后驾车逃跑，行至郭杜南村村口再次撞伤行人，被周围目击者们发现堵截并报警。此事经媒体报道后，已引起中华人民共和国公安部高度关注。[3]
富士康员工自杀	富士康.*跳楼	富士康员工自杀
郭美美	郭美美|红十字会	郭美美（1982年3月21日－，英文：Jocie Kok），新加坡流行歌手。
高晓松酒驾	高晓松.*酒驾	高晓松酒驾
乔布斯逝世	乔布斯	乔布斯逝世
校车事故	校车.*事故	校车事故
温州动车事故	动车.*事故|小伊伊|项炜伊|王勇平	2011年甬台温铁路列车追尾事故（中华人民共和国铁道部最初称作杭深线动车组列车追尾事故[2]，后来官方统一称作“7·23”甬温线特别重大铁路交通事故[3]）发生于当地时间2011年7月23日晚上8时30分05秒，甬温线浙江省温州市瓯江特大桥上，由北京南站开往福州站的D301次列车由后方与杭州站开往福州南站的D3115次列车发生同向动车组列车追尾事故，后车D301次四节车厢从桥上坠下。造成40人死亡、172人受伤，中断行车32小时35分，直接经济损失19371.65万元。国务院事故调查专家组调查结果颠覆了铁道部认为信号技术存在缺陷导致事故的说法，并提出组织和管理不善是事故形成的主因。[4]这起事故是中國高速鐵路[註 1]第一次發生重大傷亡事故[5]，也是全球高速鐵路（广义上时速超过200公里）继1998年6月3日艾雪德列車出軌事故之后發生的第二起重大傷亡事故。根据官方公布的名单，此次事故共造成40人死亡，至少192人受伤。此次事故遇难者赔偿标准为91.5万元人民币，包括死亡赔偿金、丧葬费及精神抚慰费和一次性救助金赔偿。[6]
小悦悦事件	小悦悦|陈贤妹	小悦悦事件( 英文：Death of Wang Yue ) 發生於2011年10月13日17时25分广东省佛山市南海区黄岐镇广佛五金城，一名2岁女童王悦（乳名“小悦悦”，其父母王持昌和曲菲菲为山东迁入的外来工，但深究发现其父母身份可疑。）由于父母疏忽过失，在阴雨天黑夜独自跑出家门百米外后，先后被两辆汽车撞伤倒地，最初路过的数名行人未及时施救（主流媒体称有18名，但其实据深究疑似顶多13名），但幸路人陈贤妹（生于1953年，佛山本地人，职业是清洁工；主流媒体称陈氏为第19名路人）救起王悦，随后被送往广州军区广州总医院急救。第二天两位肇事司机中的第一位自首。2011年10月21日凌晨零时三十二分，小悦悦在广州军区广州总医院宣告抢救无效离世。
上海地铁10号线	10号线.*追尾	上海轨道交通10号线，编号M1，为上海轨道交通运营中的线路之一。10号线被部分媒体称为中国首条无人驾驶的全自动轨道交通线[1][2]。10号线一期由新江湾城站至虹桥火车站站，支线在龙溪路站连接航华支线，抵达航中路站。线路全长36千米，其中龙溪路站以东及支线部分于2010年4月10日先期开通试运营，而主线龙溪路站以西已經于2010年11月30日开通[3]。第二期由新江湾城站延伸至外高桥，长9.4公里，共设5站，为上海2010～2020年规划建设线路。[4][5][6]
微博打拐及解救乞讨儿童	随手拍照解救乞讨儿童|微博.*打拐	微博打拐及解救乞讨儿童
卡扎菲身亡	卡扎菲	卡扎菲身亡
本拉登身亡	本拉登	本拉登身亡
金正日逝世	金正日	金正日逝世
航天	神八|神州八号|天宫一号|神九|神州九号	航天（中国大陆譯作航天，台湾、港澳譯作航太）指与研究和探索外层空间有关的领域，利用太空科技來以太空飛行器來進入外太空。
京沪高铁开通	京沪.*高铁	京沪高铁开通
织里抗税	织里.*抗税	织里抗税
南昌大桥百人自杀	南昌大桥.*自杀	南昌大桥百人自杀
成都富士康爆炸	富士康.*爆炸	成都富士康爆炸
云南地震	盈江.*地震	云南地震
驻马店碾人事件	驻马店.*碾死人	驻马店碾人事件（网络亦称驻马店碾死人事件）是指于2011年1月3日在中国河南驻马店正阳县[1]发生的一起居民制止强制施工而遭工程机械碾死的事件，值得注意的是，这起事件之前浙江温州亦发生了钱云会事件，很多人将这两起事件联系起来（受害者都是遭车辆碾压致死）。
乌坎事件	乌坎	烏坎村事件是2011年發生在中華人民共和國廣東省汕尾市所屬陸豐市的一宗群体事件。乌坎事件被视为是中国大陆群体事件的标志性里程碑之一。
﻿湄公河案	华平号|玉兴8号|湄公河.*案|糯康	﻿湄公河案
会理领导照ps事件	会理.*悬浮	会理领导照ps事件
渤海湾油田溢油事故	渤海湾.*溢油	渤海湾油田溢油事故
中石油添加茅台	中石油.*茅台	中石油添加茅台
夏俊峰案	夏俊峰	夏俊峰案，为中国大陆一个引起强烈关注的社会案件。
城管打人系列事件	城管	城管打人系列事件
李双江儿子打人	李双江.*李天一	李双江儿子打人
台湾塑化剂	塑化剂	台湾塑化剂
上海染色馒头	染色.*馒头	上海染色馒头
中国渔船被扣	中国渔船.*扣押	中国渔船被扣
黄海军演	黄海.*军演	黄海军演
航母	航母|辽宁号	航空母艦（常簡稱為航母、航艦）是一種以搭載艦載機為主要武器的军舰，艦體通常擁有供固定翼飞机起降使用的巨大甲板和座落於左右其中一側的島式艦橋（一般稱為「艦島」）。航艦是航空母艦戰鬥群的核心，艦隊中的其它船隻提供其保護和供給，而航母則提供空中支援和遠程打擊能力。航空母艦是目前最大的武器系统平台，发展至今已是現代蓝水海军不可或缺的武器，也是海戰最重要的作戰艦艇之一。
赖昌星	赖昌星	賴昌星（1958年9月15日－），出生于福建晋江，中國商人，前遠華集團創辦人兼董事長，遠華走私案罪犯，也是中華人民共和國的通緝犯。曾居於加拿大温哥華十年，十年内数次申请加拿大的難民，经过加拿大司法审核都未通过难民申请标准。2011年7月22日下午，他从温哥华国际机场遣返回北京，并于7月23日下午在北京首都国际机场被中国公安机关逮捕[1]，2012年5月18日被判無期徒刑。
限购令-国八条	限购令|国八条|房价.*调控	限购令-国八条
新婚姻法	新婚姻法	新婚姻法
扶老人被诬告	彭宇案|扶老人	扶老人被诬告
双汇瘦肉精	瘦肉精	双汇瘦肉精
联防队员打杂民宅强奸女子	杨喜利	联防队员打杂民宅强奸女子
方舟子打假	方舟子.*韩寒|方舟子.*李开复|韩寒.*代笔	方舟子打假
王立军事件	王立军	王立军事件指时任中华人民共和国重庆市人民政府副市长兼重庆市公安局局长（事发前已被重庆当局停止分管政法工作的副市长分工和公安局长职权；2012年3月23日被重庆市人大常委会免去两职）的王立军于2012年2月6日私自前往美国驻成都总领事馆滞留（被法院认定为叛逃）的事件。該事件一般被認為是海伍德死亡案复查、王立军案和薄熙來事件的導火線。
薄熙来	薄熙来|薄谷开来	薄熙来（1949年7月3日--），籍贯中国山西省定襄县，生于北平市，中共元老薄一波之子，中华人民共和国政治人物，先后历任大连市市长、中共大连市委书记、辽宁省省长、商务部部长、中共重庆市委书记，中共第十七届中央政治局委员。担任大连市长期间，发展建设大连成为「 北方明珠 」、擔任重慶市委書記期間，「 唱红打黑 」运动、「 共富 」理念等构成的「 重庆模式 」而政绩显赫。2012年3月15日，薄熙来被解除重慶市委書記職務[1]，同年4月10日被停止中共中央委员和政治局委员职务，接受中共中央纪委调查[2]，并于同年9月28日被开除党籍、公职，成为六四事件后，继陈希同、陈良宇之后第三位因违反党纪下台的中央政治局委员。
黄岩岛	黄岩岛	黄岩岛，欧美称斯卡伯勒浅滩（Scarborough Shoal），菲律宾方面称帕纳塔格礁（Kulumpol ng Panatag），该岛位于北纬15°07′，东经117°51′，距海南岛约500海里，距西沙群岛约340海里，距中沙环礁约160海里，距菲律宾苏比克港约100海里。为海盆中的海山上覆珊瑚礁而成，是中国南海中沙群岛中唯一露出水面的岛礁。与菲律宾群岛有幽深的马尼拉海沟相隔。中国认为，宋朝时期，黄岩岛已經被统治者列入版图，而菲律宾方面同样认为，黄岩岛早就被西班牙殖民者绘入地图[1]。有学者根据经纬度分析推理，1279年，科学家郭守敬进行了四海测验时的测量点为该岛[2]，此说法并未得到中国官方的背书。明朝時期則将中沙群岛及南沙群岛统称为万里长沙，清朝时期称為千里石塘，但并无证据证明这些称呼指代或者包括黄岩岛。中国方面认为，中国潭门镇渔民在该海域捕鱼历史悠久，著有《更路薄》。盡管历史上菲律宾从來未有将黄岩岛纳入為领土范围内，菲律宾自1978年开始宣称对黄岩岛拥有主权[3]。目前黄岩岛由中华人民共和国实际控制[4][5]，行政区划里黄岩岛隶属于海南省三沙市。
钓鱼岛	钓鱼岛	坐标：25°44′36″N 123°28′24″E﻿ / ﻿25.74333°N 123.47333°E﻿ / 25.74333; 123.47333
理性爱国，勿伤同胞	反日游行|钓鱼岛.*国有化|平和堂|青岛.*丰田|理性爱国|西安.*打砸抢	理性爱国，勿伤同胞
各地暴雨	北京.*看海|武汉.*看海|北京.*暴雨	各地暴雨
周克华抢劫案	周克华	周克华抢劫案
微博反腐	微博反腐|微笑表叔|杨达才|房叔|房婶|房祖宗|龚爱爱	微博反腐
3B大战	3B|360.*百度|百度.*360	搜狐
倾向支持者：
高德软件[1]
﻿十八大	十八大	﻿十八大
重庆不雅视频	重庆.*不雅视频|雷政富	重庆不雅视频
切糕	切糕	API可以指：
狼爸教育	萧百佑|狼爸|狼妈	狼爸教育
毒胶囊	毒胶囊	毒胶囊
老酸奶	老酸奶.*明胶|老酸奶.*皮鞋	老酸奶
活熊取胆	活熊取胆|归真堂	活熊取胆
速成鸡	速成鸡|粟海集团	速成鸡
火车票降价	火车票.*降价	火车票降价
购票难	火车票|抢票软件|互联网售票|12306|铁道部	购票难
朴槿惠当选韩国总统	朴槿惠	朴槿惠当选韩国总统
安倍晋三当选日本总统	安倍晋三	安倍晋三当选日本总统
白酒行业塑化剂危机	白酒.*塑化剂	白酒行业塑化剂危机
国庆长假堵车	国庆.*堵车	国庆长假堵车
高速假期免过路费	高速.*假日.*过路费	高速假期免过路费
国考报考人数井喷	国考.*人数.*井喷	国考报考人数井喷
哈尔滨阳明滩大桥坍塌	阳明滩大桥	哈尔滨阳明滩大桥坍塌
高考	高考	高考這個名詞，在不同的国家和地区有不同的意义。
深圳跑车飙车案	深圳.*飙车	深圳跑车飙车案
电影1942	电影.*1942|1942.*电影	电影1942
柴静看见	柴静.*看见	柴静看见
三亚宰客	三亚.*宰客	三亚宰客
少年被充气泵塞肛门穿孔	小传旺	少年被充气泵塞肛门穿孔
公知约架	吴法天|五岳散人|记者周燕|公知.*约架	公知约架
空气污染	PM2.5|空气.*污染	空氣污染（或大氣污染）指一些危害人體健康及周邊環境的物質對大氣層所造成的污染。這些物質可能是氣體、固体或液体懸浮物等。我們日常呼吸的空氣，是由多種化學物質所組成，最普遍的元素是氮，其次是氧。每種氣體的成份並不是固定的，會有輕微的轉變。如果空氣中的污染物數量少的話，對人體和環境的影響會比較輕微，但當這些污染物增加至危險的水平，我們就要想辦法把他們從空氣裡消除。
石油调价	石油.*调价|调价.*石油	石油调价
抵制排污项目	PX项目	抵制排污项目
申纪兰	申纪兰	申纪兰（1929年12月－），女，山西省长治市平顺县人。基层干部，全国劳动模范。连续12届当选中华人民共和国全国人民代表大会代表。[1]
吴英案	吴英	吴英案
计划生育	计划生育	计划生育是有計劃的節制生育，是人口控制的一种，常见方法有生育控制、增加家庭生育的间隔时间，從而減輕人口壓力與家庭負擔。早在公元1798年，英國牧師托馬斯·羅伯特·馬爾薩斯發表《人口學原理》，他認為只有自然原因、災難、道德限制和罪惡才能限制人口過度增長。
养老金	养老金.*缺口	金融信用及债务
信用卡 卡债 標會
债务整合 放款
贷款 按揭 典當
伦敦奥运会	伦敦奥运会	伦敦是歷屆夏季奧林匹克運動會舉辦次數最多的城市，曾申请成功4次，并举办过三次。此外，另舉辦2012年的殘障奧運會。
微公益	微公益	
微博政务	微博政务	微博政务
文革	文革|文化大革命|文化革命	无产阶级文化大革命，通称文化大革命，简称文革，是中华人民共和国始于1966年的一场重大政治运动，被广泛认为是自1949年建国至今最动荡不安的灾难性阶段，常被冠以“十年动乱”、“十年浩劫”、「文化浩劫」或「文化滅絕」[來源請求]。
乌有之乡	乌有之乡	乌有之乡是中国大陆一个带有政治左翼与毛泽东思想色彩的中国雜誌社和政经评论网站，其和政治右翼的炎黄春秋立場及意見相左。[1]該站于2003年由北京乌有之乡文化传播有限公司开设。创办人包括范景刚、韩德强等人。网站在2012年4月12日被当局關閉。
﻿故宫系列事件	故宫.*失窃|故宫.*会所|故宫.*封口|故宫.*文物顺坏|哥窑瓷器|故宫.*锦旗	﻿故宫系列事件
﻿莫言	莫言	﻿莫言
