topic	tweets_count	comments_count	reposts_count	intro
温州动车事故	7563	98568	288682	2011年甬台温铁路列车追尾事故（中华人民共和国铁道部最初称作杭深线动车组列车追尾事故，后来官方统一称作“7·23”甬温线特别重大铁路交通事故）发生于当地时间2011年7月23日晚上8时30分05秒，甬温线浙江省温州市瓯江特大桥上，由北京南站开往福州站的D301次列车由后方与杭州站开往福州南站的D3115次列车发生同向动车组列车追尾事故，后车D301次四节车厢从桥上坠下。造成40人死亡、172人受伤，中断行车32小时35分，直接经济损失19371.65万元。国务院事故调查专家组调查结果颠覆了铁道部认为信号技术存在缺陷导致事故的说法，并提出组织和管理不善是事故形成的主因。这起事故是中國高速鐵路第一次發生重大傷亡事故，也是全球高速鐵路（广义上时速超过200公里）继1998年6月3日艾雪德列車出軌事故之后發生的第二起重大傷亡事故。根据官方公布的名单，此次事故共造成40人死亡，至少192人受伤。此次事故遇难者赔偿标准为91.5万元人民币，包括死亡赔偿金、丧葬费及精神抚慰费和一次性救助金赔偿。
申纪兰	609	11979	25292	申纪兰（1929年12月－），女，山西省长治市平顺县人。基层干部，全国劳动模范。连续12届当选中华人民共和国全国人民代表大会代表。
电影1942	4591	44441	119672	《一九四二》是一部2012年上映的由冯小刚导演执导的电影作品。影片剧本改编自刘震云小说《温故一九四二》。该片由华谊兄弟公司发行，影片于2012年11月29日于中国大陆上映 。
矿难	2478	24311	85368	矿难，指在采矿过程中发生的事故，通常造成伤亡的危险性极大。世界上每年至少有几千人死于矿难。矿难发生的频率在中国等发展中国家尤为突出。在2003年，中國生產了世界約35%的煤，但在煤礦事故死亡人數上卻佔約80%。
药家鑫	12275	84512	107376	药家鑫案，西安警方称“10·20”大学生药家鑫撞伤人又故意杀人案，检方、法院称药家鑫故意杀人案是指2010年10月20日深夜发生在陕西省西安市大学城学府大道上的一起交通肇事引发的故意杀人案，肇事者药家鑫驾车撞到被害人张妙，下车后发现张妙在记自己的车牌号，药家鑫拿出刀子，连捅张妙8刀，致其死亡，后驾车逃跑，行至郭杜南村村口再次撞伤行人，被周围目击者们发现堵截并报警。此事经媒体报道后，已引起中华人民共和国公安部高度关注。
谷歌退出中国	226	2641	4251	谷歌退出中国事件是指2010年Google公司因内容审查问题与中国政府交涉，并最终关闭中国版网页搜索服务，转用香港域名及服务器为内地用户提供简体中文服务的事件。
邓玉娇	247	1734	3960	邓玉娇案，又称“邓玉娇刺官案”，是2009年5月10日晚发生于中國湖北省恩施州巴东县野三关镇的一起宾馆女服务员出于正当防卫目的意外刺死、刺伤镇人民政府人员的刑事案件。此案发生后迅速名震全國，争议甚广，邓玉娇也被许多民众称赞为“当代烈女”。
重庆不雅视频	6111	286997	547594	2013年重庆官场不雅照事件，是指2013年1月，揭发的一系列涉及中华人民共和国、中国共产党重庆地方官员的不雅照事件。事件原由2008年、2009年期间，重庆永煌公司肖烨通过透露与当地官员有关的性爱视频，以达到控制官场的目的。当时是重庆市委书记薄熙来的掌控期间，事情一直被隐瞒到王立军事件及薄熙来事件后才曝光。
重庆打黑事件	12243	200157	517066	重庆打黑除恶专项行动（或简称重庆打黑），“唱红打黑”的一部分，是中华人民共和国重庆市於2009年7月10日起所展開的一系列以针对当地黑幫勢力为名,实际针对薄熙来政敌的行动。在中共第十七届中央政治局委员兼重庆市委书记薄熙来的支持下进行的这次行动，先后逮捕1544名涉黑嫌疑人，多名涉嫌腐败的警方人员、中共及政府官员落网，包括重庆市原司法局局长文强。《时代杂志》将此次行动形容为“中国的21世纪大审判”（China's trial of the 21st century）。此次行动被认为是自中华人民共和国建立后类似行动中规模最大的。此次行动在程序、法律适用等方面出现的问题也为部分法律、社会人士诟病。
钱明奇	504	3886	9853	钱明奇（1959年－2011年5月26日），江西省抚州市临川区居民，生于北京，抚州市连环爆炸案嫌疑人。
